Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Sum
1968,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1969,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1970,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1971,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1972,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1973,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1974,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1975,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1976,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1977,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1978,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1979,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1980,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1981,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1982,Male,Incidence,Acute lymphoblastic leukaemia,42.0,25.0,14.0,14.0,5.0,2.0,5.0,3.0,1.0,0.0,0.0,1.0,7.0,2.0,3.0,4.0,1.0,0.0,0.0,
1983,Male,Incidence,Acute lymphoblastic leukaemia,41.0,18.0,11.0,4.0,6.0,5.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,6.0,2.0,0.0,
1984,Male,Incidence,Acute lymphoblastic leukaemia,49.0,18.0,10.0,10.0,8.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,1.0,0.0,
1985,Male,Incidence,Acute lymphoblastic leukaemia,59.0,17.0,15.0,13.0,7.0,2.0,6.0,5.0,1.0,2.0,4.0,4.0,3.0,7.0,3.0,4.0,1.0,0.0,0.0,
1986,Male,Incidence,Acute lymphoblastic leukaemia,43.0,17.0,13.0,10.0,8.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,8.0,5.0,5.0,0.0,1.0,0.0,
1987,Male,Incidence,Acute lymphoblastic leukaemia,31.0,19.0,14.0,21.0,7.0,1.0,5.0,1.0,6.0,2.0,2.0,4.0,4.0,3.0,7.0,4.0,4.0,1.0,0.0,
1988,Male,Incidence,Acute lymphoblastic leukaemia,42.0,11.0,14.0,10.0,8.0,6.0,4.0,4.0,7.0,2.0,2.0,4.0,7.0,3.0,5.0,2.0,3.0,1.0,0.0,
1989,Male,Incidence,Acute lymphoblastic leukaemia,46.0,24.0,15.0,12.0,6.0,6.0,7.0,6.0,1.0,4.0,2.0,6.0,7.0,2.0,3.0,4.0,2.0,2.0,0.0,
1990,Male,Incidence,Acute lymphoblastic leukaemia,46.0,24.0,19.0,19.0,6.0,7.0,3.0,1.0,2.0,6.0,1.0,3.0,2.0,4.0,5.0,1.0,1.0,0.0,0.0,
1991,Male,Incidence,Acute lymphoblastic leukaemia,51.0,27.0,15.0,8.0,9.0,5.0,1.0,1.0,4.0,5.0,3.0,0.0,5.0,5.0,2.0,3.0,2.0,0.0,0.0,
1992,Male,Incidence,Acute lymphoblastic leukaemia,44.0,24.0,9.0,14.0,6.0,4.0,2.0,6.0,4.0,4.0,2.0,1.0,1.0,8.0,4.0,3.0,1.0,2.0,0.0,
1993,Male,Incidence,Acute lymphoblastic leukaemia,44.0,22.0,12.0,17.0,3.0,6.0,4.0,9.0,4.0,5.0,2.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,0.0,
1994,Male,Incidence,Acute lymphoblastic leukaemia,43.0,20.0,11.0,16.0,4.0,3.0,11.0,4.0,5.0,3.0,4.0,5.0,6.0,7.0,4.0,6.0,1.0,5.0,0.0,
1995,Male,Incidence,Acute lymphoblastic leukaemia,40.0,24.0,11.0,13.0,7.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,0.0,
1996,Male,Incidence,Acute lymphoblastic leukaemia,40.0,30.0,16.0,14.0,7.0,4.0,5.0,6.0,5.0,4.0,3.0,1.0,4.0,5.0,5.0,6.0,2.0,1.0,0.0,
1997,Male,Incidence,Acute lymphoblastic leukaemia,33.0,21.0,15.0,11.0,6.0,6.0,3.0,8.0,2.0,7.0,2.0,3.0,4.0,2.0,6.0,2.0,2.0,5.0,0.0,
1998,Male,Incidence,Acute lymphoblastic leukaemia,41.0,28.0,12.0,19.0,11.0,7.0,8.0,3.0,7.0,9.0,5.0,7.0,5.0,9.0,8.0,1.0,5.0,0.0,0.0,
1999,Male,Incidence,Acute lymphoblastic leukaemia,49.0,20.0,12.0,15.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,8.0,4.0,4.0,4.0,0.0,
2000,Male,Incidence,Acute lymphoblastic leukaemia,51.0,23.0,13.0,16.0,12.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,6.0,6.0,3.0,2.0,6.0,2.0,0.0,
2001,Male,Incidence,Acute lymphoblastic leukaemia,49.0,31.0,18.0,13.0,7.0,5.0,5.0,6.0,4.0,5.0,8.0,7.0,3.0,4.0,3.0,5.0,0.0,1.0,0.0,
2002,Male,Incidence,Acute lymphoblastic leukaemia,37.0,30.0,16.0,11.0,4.0,4.0,4.0,2.0,6.0,1.0,9.0,4.0,9.0,5.0,5.0,5.0,4.0,2.0,0.0,
2003,Male,Incidence,Acute lymphoblastic leukaemia,56.0,26.0,16.0,16.0,10.0,2.0,4.0,3.0,5.0,6.0,7.0,1.0,7.0,4.0,5.0,3.0,3.0,5.0,0.0,
2004,Male,Incidence,Acute lymphoblastic leukaemia,62.0,28.0,15.0,13.0,10.0,5.0,6.0,7.0,4.0,3.0,9.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,0.0,
2005,Male,Incidence,Acute lymphoblastic leukaemia,46.0,30.0,23.0,11.0,4.0,4.0,5.0,8.0,2.0,2.0,7.0,9.0,2.0,5.0,7.0,5.0,3.0,1.0,0.0,
2006,Male,Incidence,Acute lymphoblastic leukaemia,42.0,16.0,25.0,13.0,8.0,6.0,5.0,4.0,2.0,5.0,6.0,5.0,5.0,6.0,8.0,2.0,3.0,2.0,0.0,
2007,Male,Incidence,Acute lymphoblastic leukaemia,59.0,22.0,20.0,20.0,6.0,5.0,5.0,7.0,5.0,6.0,2.0,3.0,8.0,0.0,5.0,2.0,3.0,1.0,0.0,
2008,Male,Incidence,Acute lymphoblastic leukaemia,42.0,23.0,20.0,16.0,12.0,4.0,4.0,6.0,3.0,8.0,5.0,8.0,10.0,4.0,5.0,5.0,4.0,0.0,0.0,
2009,Male,Incidence,Acute lymphoblastic leukaemia,51.0,24.0,22.0,17.0,3.0,5.0,4.0,1.0,7.0,3.0,5.0,6.0,2.0,5.0,4.0,6.0,1.0,4.0,0.0,
2010,Male,Incidence,Acute lymphoblastic leukaemia,43.0,33.0,21.0,16.0,10.0,11.0,7.0,8.0,1.0,5.0,3.0,6.0,8.0,6.0,6.0,2.0,3.0,2.0,0.0,
2011,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1968,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1969,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1970,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1971,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1972,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1973,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1974,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1975,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1976,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1977,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1978,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1979,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1980,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1981,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1982,Female,Incidence,Acute lymphoblastic leukaemia,39.0,16.0,10.0,5.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,
1983,Female,Incidence,Acute lymphoblastic leukaemia,24.0,12.0,9.0,2.0,2.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0,2.0,0.0,
1984,Female,Incidence,Acute lymphoblastic leukaemia,31.0,20.0,7.0,11.0,5.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,
1985,Female,Incidence,Acute lymphoblastic leukaemia,35.0,10.0,13.0,5.0,3.0,1.0,3.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,2.0,0.0,
1986,Female,Incidence,Acute lymphoblastic leukaemia,38.0,13.0,9.0,6.0,2.0,4.0,3.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,
1987,Female,Incidence,Acute lymphoblastic leukaemia,38.0,16.0,7.0,5.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,
1988,Female,Incidence,Acute lymphoblastic leukaemia,31.0,17.0,9.0,6.0,4.0,2.0,1.0,2.0,3.0,4.0,0.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,
1989,Female,Incidence,Acute lymphoblastic leukaemia,26.0,15.0,12.0,6.0,2.0,3.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,
1990,Female,Incidence,Acute lymphoblastic leukaemia,35.0,15.0,9.0,9.0,5.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,3.0,4.0,6.0,4.0,1.0,0.0,
1991,Female,Incidence,Acute lymphoblastic leukaemia,32.0,19.0,9.0,7.0,7.0,4.0,0.0,3.0,2.0,0.0,3.0,2.0,2.0,6.0,3.0,5.0,2.0,2.0,0.0,
1992,Female,Incidence,Acute lymphoblastic leukaemia,40.0,15.0,10.0,8.0,5.0,5.0,10.0,1.0,3.0,0.0,2.0,4.0,3.0,5.0,6.0,4.0,1.0,6.0,0.0,
1993,Female,Incidence,Acute lymphoblastic leukaemia,40.0,15.0,7.0,7.0,4.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,0.0,
1994,Female,Incidence,Acute lymphoblastic leukaemia,45.0,19.0,7.0,3.0,6.0,3.0,5.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,
1995,Female,Incidence,Acute lymphoblastic leukaemia,39.0,18.0,11.0,6.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,3.0,2.0,4.0,0.0,
1996,Female,Incidence,Acute lymphoblastic leukaemia,42.0,26.0,14.0,7.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,3.0,7.0,4.0,4.0,3.0,0.0,
1997,Female,Incidence,Acute lymphoblastic leukaemia,41.0,11.0,16.0,5.0,4.0,4.0,2.0,6.0,3.0,3.0,4.0,3.0,3.0,4.0,0.0,2.0,0.0,4.0,0.0,
1998,Female,Incidence,Acute lymphoblastic leukaemia,36.0,23.0,11.0,6.0,4.0,3.0,2.0,4.0,5.0,0.0,6.0,6.0,4.0,5.0,6.0,2.0,7.0,4.0,0.0,
