Year,French Population,Female Population
1982,55573000,30565150
1983,55905000,30747750
1984,56166000,30891300
1985,56445000,31044750
1986,56720000,31196000
1987,57012000,31356600
1988,57325000,31528750
1989,57660000,31713000
1990,57996000,31897800
1991,58280000,32054000
1992,58571000,32214050
1993,58852000,32368600
1994,59070000,32488500
1995,59281000,32604550
1996,59487000,32717850
1997,59691000,32830050
1998,59899000,32944450
1999,60123000,33067650
2000,60508000,33279400
2001,60941000,33517550
2002,61385000,33761750
2003,61824000,34003200
2004,62251000,34238050
2005,62731000,34502050
2006,63186000,34752300
2007,63601000,34980550
2008,63962000,35179100
2009,64323000,35377650
2010,64669000,35567950
